timestamp,price,action,usdt_balance,base_balance,recommendation,q_values
2025-05-23 07:48:06.488649,1.221,HOLD,20.00044131,0.00278,SELL,"[21252.927734375, 22176.833984375, 26405.73828125]"
2025-05-23 07:49:10.267435,1.217,HOLD,20.00044131,0.00278,SELL,"[21546.740234375, 22485.982421875, 26831.994140625]"
2025-05-23 07:50:13.970440,1.216,HOLD,20.00044131,0.00278,SELL,"[21812.3125, 22764.64453125, 27198.84765625]"
2025-05-23 07:50:26.528534+00:00,1.216,HOLD,20.00044131,0.00278,SELL,"[21813.751953125, 22766.154296875, 27200.796875]"
2025-05-23 07:51:30.025469+00:00,1.213,HOLD,20.00044131,0.00278,SELL,"[22125.255859375, 23093.537109375, 27643.568359375]"
2025-05-23 08:11:27.176414+00:00,1.224,BUY,20.00044131,0.00278,BUY,"[33391.48046875, 35847.9921875, 35792.5]"
2025-05-23 08:15:18.014472+00:00,1.227,HOLD,0.98844131,15.50726,BUY,"[40709.44140625, 43636.46484375, 43601.91796875]"
2025-05-23 08:16:21.642999+00:00,1.235,SELL,0.98844131,15.50726,SELL,"[60145.9375, 64335.48046875, 64350.2734375]"
2025-05-23 08:21:38.081956+00:00,1.243,HOLD,20.09631431,0.00726,SELL,"[76974.7421875, 82254.34375, 82313.375]"
2025-05-23 08:22:42.075120+00:00,1.243,HOLD,20.09631431,0.00726,SELL,"[79183.4921875, 84605.859375, 84670.8515625]"
2025-05-23 08:23:45.791020+00:00,1.248,HOLD,20.09631431,0.00726,SELL,"[83485.0234375, 89188.65625, 89263.65625]"
2025-05-23 08:24:49.857093+00:00,1.249,HOLD,20.09631431,0.00726,SELL,"[89100.0625, 95167.234375, 95257.0625]"
2025-05-23 08:25:52.716226+00:00,1.243,HOLD,20.09631431,0.00726,SELL,"[91719.34375, 97951.9296875, 98050.75]"
2025-05-23 08:26:57.029349+00:00,1.248,HOLD,20.09631431,0.00726,SELL,"[94811.7421875, 101247.4453125, 101353.0]"
2025-05-23 08:27:59.916303+00:00,1.247,HOLD,20.09631431,0.00726,SELL,"[95998.9140625, 102510.703125, 102619.78125]"
2025-05-23 08:29:03.888323+00:00,1.249,HOLD,20.09631431,0.00726,SELL,"[97453.015625, 104060.0625, 104172.4375]"
2025-05-23 08:30:07.690524+00:00,1.251,HOLD,20.09631431,0.00726,SELL,"[101367.4375, 108228.75, 108351.0625]"
2025-05-23 08:31:10.981364+00:00,1.249,HOLD,20.09631431,0.00726,SELL,"[105543.2890625, 112673.234375, 112807.4375]"
2025-05-23 08:32:14.205740+00:00,1.248,HOLD,20.09631431,0.00726,SELL,"[113196.2109375, 120820.125, 120975.296875]"
2025-05-23 08:33:17.828877+00:00,1.251,HOLD,20.09631431,0.00726,SELL,"[114293.4453125, 121990.1953125, 122147.375]"
2025-05-23 08:34:21.907855+00:00,1.255,HOLD,20.09631431,0.00726,SELL,"[118596.6015625, 126573.96875, 126741.53125]"
2025-05-23 08:35:25.765965+00:00,1.256,HOLD,20.09631431,0.00726,SELL,"[120756.8203125, 128874.421875, 129047.515625]"
2025-05-23 08:36:29.643254+00:00,1.263,HOLD,20.09631431,0.00726,SELL,"[125970.078125, 134428.828125, 134613.921875]"
2025-05-23 08:37:33.531241+00:00,1.264,HOLD,20.09631431,0.00726,SELL,"[133177.515625, 142102.6875, 142306.9375]"
2025-05-23 08:38:37.607562+00:00,1.27,HOLD,20.09631431,0.00726,SELL,"[137259.78125, 146452.265625, 146665.8125]"
2025-05-23 08:39:41.348569+00:00,1.268,HOLD,20.09631431,0.00726,SELL,"[142994.234375, 152556.203125, 152785.78125]"
2025-05-23 08:40:45.149263+00:00,1.265,HOLD,20.09631431,0.00726,SELL,"[146690.203125, 156489.3125, 156729.734375]"
2025-05-23 08:41:49.103909+00:00,1.268,HOLD,20.09631431,0.00726,SELL,"[148613.453125, 158538.59375, 158783.34375]"
2025-05-23 08:42:53.248238+00:00,1.272,HOLD,20.09631431,0.00726,SELL,"[150141.09375, 160167.25, 160415.0]"
2025-05-23 08:43:56.060936+00:00,1.27,HOLD,20.09631431,0.00726,SELL,"[154057.40625, 164335.5625, 164594.4375]"
2025-05-23 08:44:59.946864+00:00,1.275,HOLD,20.09631431,0.00726,SELL,"[155802.546875, 166196.28125, 166458.484375]"
2025-05-23 08:46:04.105339+00:00,1.274,HOLD,20.09631431,0.00726,SELL,"[157924.03125, 168454.34375, 168722.546875]"
2025-05-23 08:47:07.878330+00:00,1.274,HOLD,20.09631431,0.00726,SELL,"[161266.234375, 172012.5625, 172289.78125]"
2025-05-23 08:48:12.060228+00:00,1.27,HOLD,20.09631431,0.00726,SELL,"[162967.46875, 173821.5, 174104.40625]"
2025-05-23 08:49:15.882366+00:00,1.272,HOLD,20.09631431,0.00726,SELL,"[164382.40625, 175329.015625, 175615.1875]"
2025-05-23 08:50:19.000888+00:00,1.271,HOLD,20.09631431,0.00726,SELL,"[165836.21875, 176876.234375, 177166.609375]"
2025-05-23 08:51:21.682930+00:00,1.27,HOLD,20.09631431,0.00726,SELL,"[169393.453125, 180662.828125, 180963.0625]"
2025-05-23 08:52:24.812479+00:00,1.262,HOLD,20.09631431,0.00726,SELL,"[172791.78125, 184276.140625, 184587.84375]"
2025-05-23 08:53:29.025711+00:00,1.26,HOLD,20.09631431,0.00726,SELL,"[176289.859375, 187999.09375, 188320.84375]"
2025-05-23 08:54:33.226744+00:00,1.262,HOLD,20.09631431,0.00726,SELL,"[179520.734375, 191439.984375, 191769.859375]"
2025-05-23 08:55:36.328476+00:00,1.264,HOLD,20.09631431,0.00726,SELL,"[180825.234375, 192829.984375, 193162.78125]"
2025-05-23 08:56:39.111689+00:00,1.263,HOLD,20.09631431,0.00726,SELL,"[182122.078125, 194210.078125, 194546.6875]"
2025-05-23 08:57:43.123015+00:00,1.259,HOLD,20.09631431,0.00726,SELL,"[185399.828125, 197697.296875, 198043.90625]"
2025-05-23 08:58:47.238641+00:00,1.259,HOLD,20.09631431,0.00726,SELL,"[186752.921875, 199137.828125, 199488.09375]"
2025-05-23 08:59:51.042039+00:00,1.261,HOLD,20.09631431,0.00726,SELL,"[187356.34375, 199781.453125, 200132.75]"
2025-05-23 09:00:53.599138+00:00,1.251,BUY,20.09631431,0.00726,BUY,"[10501.798828125, 11488.6279296875, 11366.552734375]"
2025-05-23 09:05:57.176140+00:00,1.258,HOLD,1.00605431,15.252,BUY,"[20122.11328125, 21739.138671875, 21638.861328125]"
2025-05-23 09:07:00.353220+00:00,1.264,HOLD,1.00605431,15.252,BUY,"[23927.146484375, 25794.658203125, 25702.3984375]"
2025-05-23 09:08:04.381655+00:00,1.264,HOLD,1.00605431,15.252,BUY,"[25317.71875, 27275.107421875, 27186.6015625]"
2025-05-23 09:09:08.287709+00:00,1.26,HOLD,1.00605431,15.252,BUY,"[27696.443359375, 29804.701171875, 29724.03125]"
2025-05-23 09:10:12.342321+00:00,1.264,HOLD,1.00605431,15.252,BUY,"[29048.294921875, 31246.80078125, 31168.357421875]"
2025-05-23 09:11:16.516513+00:00,1.262,HOLD,1.00605431,15.252,BUY,"[30489.08984375, 32779.28515625, 32705.439453125]"
2025-05-23 09:12:20.683976+00:00,1.265,HOLD,1.00605431,15.252,BUY,"[31095.97265625, 33427.53125, 33354.265625]"
2025-05-23 09:13:24.623184+00:00,1.27,HOLD,1.00605431,15.252,BUY,"[33284.4296875, 35760.9296875, 35691.84375]"
2025-05-23 09:14:28.324038+00:00,1.268,HOLD,1.00605431,15.252,BUY,"[36244.4453125, 38910.8671875, 38850.4609375]"
2025-05-23 09:15:32.402774+00:00,1.271,HOLD,1.00605431,15.252,BUY,"[37409.40625, 40153.19921875, 40094.90234375]"
2025-05-23 09:16:35.521685+00:00,1.272,HOLD,1.00605431,15.252,BUY,"[40341.234375, 43275.20703125, 43224.484375]"
2025-05-23 09:17:38.813212+00:00,1.275,HOLD,1.00605431,15.252,BUY,"[44149.18359375, 47331.3046875, 47289.859375]"
2025-05-23 09:18:42.600278+00:00,1.28,HOLD,1.00605431,15.252,BUY,"[46935.7734375, 50301.33203125, 50265.76171875]"
2025-05-23 09:19:46.496987+00:00,1.283,HOLD,1.00605431,15.252,BUY,"[53525.10546875, 57318.5, 57299.7421875]"
2025-05-23 09:20:50.606048+00:00,1.284,HOLD,1.00605431,15.252,BUY,"[57089.9375, 61114.390625, 61104.93359375]"
2025-05-23 09:21:55.069722+00:00,1.291,SELL,1.00605431,15.252,SELL,"[62543.0859375, 66924.4375, 66927.5]"
2025-05-23 09:26:59.313558+00:00,1.282,HOLD,20.65888181,0.002,SELL,"[77472.2578125, 82808.1484375, 82856.609375]"
2025-05-23 09:28:02.920155+00:00,1.286,HOLD,20.65888181,0.002,SELL,"[79425.90625, 84890.328125, 84942.9375]"
2025-05-23 09:29:06.994684+00:00,1.282,HOLD,20.65888181,0.002,SELL,"[83017.4765625, 88711.765625, 88775.1875]"
2025-05-23 09:30:10.765221+00:00,1.281,HOLD,20.65888181,0.002,SELL,"[89491.6484375, 95603.8203125, 95684.984375]"
2025-05-23 09:31:14.706730+00:00,1.288,HOLD,20.65888181,0.002,SELL,"[92702.4453125, 99026.0625, 99113.9609375]"
2025-05-23 09:32:19.058271+00:00,1.29,HOLD,20.65888181,0.002,SELL,"[94481.5546875, 100921.265625, 101013.421875]"
2025-05-23 09:33:22.747244+00:00,1.282,HOLD,20.65888181,0.002,SELL,"[95021.2578125, 101491.390625, 101587.1953125]"
2025-05-23 09:34:25.489362+00:00,1.281,HOLD,20.65888181,0.002,SELL,"[97022.0390625, 103620.90625, 103722.40625]"
2025-05-23 09:35:28.629683+00:00,1.28,HOLD,20.65888181,0.002,SELL,"[98682.7421875, 105388.375, 105494.640625]"
2025-05-23 09:36:32.759193+00:00,1.28,HOLD,20.65888181,0.002,SELL,"[99602.859375, 106367.96875, 106476.703125]"
2025-05-23 09:37:37.368652+00:00,1.28,HOLD,20.65888181,0.002,SELL,"[101645.6484375, 108542.7734375, 108657.03125]"
2025-05-23 09:38:41.652566+00:00,1.279,HOLD,20.65888181,0.002,SELL,"[105682.5546875, 112840.0390625, 112965.46875]"
2025-05-23 09:39:45.184937+00:00,1.281,HOLD,20.65888181,0.002,SELL,"[106546.65625, 113761.125, 113888.3125]"
2025-05-23 09:40:48.288576+00:00,1.28,HOLD,20.65888181,0.002,SELL,"[107612.4296875, 114895.203125, 115025.5625]"
2025-05-23 09:41:52.199707+00:00,1.283,HOLD,20.65888181,0.002,SELL,"[108301.4453125, 115630.484375, 115761.84375]"
2025-05-23 09:42:56.293742+00:00,1.278,HOLD,20.65888181,0.002,SELL,"[109151.546875, 116532.640625, 116667.7265625]"
2025-05-23 09:44:00.315570+00:00,1.28,HOLD,20.65888181,0.002,SELL,"[112209.609375, 119789.515625, 119932.265625]"
2025-05-23 09:45:03.417894+00:00,1.278,HOLD,20.65888181,0.002,SELL,"[114198.0625, 121905.3359375, 122054.03125]"
2025-05-23 09:46:07.237625+00:00,1.274,HOLD,20.65888181,0.002,SELL,"[116273.4921875, 124112.546875, 124268.0078125]"
2025-05-23 09:47:11.159438+00:00,1.276,HOLD,20.65888181,0.002,SELL,"[117615.21875, 125542.171875, 125700.671875]"
2025-05-23 09:48:15.176223+00:00,1.276,HOLD,20.65888181,0.002,SELL,"[119725.8984375, 127789.28125, 127953.4609375]"
2025-05-23 09:49:19.376872+00:00,1.28,HOLD,20.65888181,0.002,SELL,"[120305.3203125, 128408.4765625, 128573.078125]"
2025-05-23 09:50:23.319101+00:00,1.279,HOLD,20.65888181,0.002,SELL,"[123387.0, 131688.765625, 131861.953125]"
2025-05-23 09:51:27.268907+00:00,1.28,HOLD,20.65888181,0.002,SELL,"[123973.0, 132313.203125, 132487.703125]"
2025-05-23 09:52:31.259171+00:00,1.279,HOLD,20.65888181,0.002,SELL,"[125447.1015625, 133882.015625, 134060.765625]"
2025-05-23 09:53:35.712441+00:00,1.269,HOLD,20.65888181,0.002,SELL,"[135672.453125, 144762.296875, 144971.578125]"
2025-05-23 09:54:39.634234+00:00,1.27,HOLD,20.65888181,0.002,SELL,"[136644.890625, 145798.1875, 146009.8125]"
2025-05-23 09:55:43.514681+00:00,1.268,HOLD,20.65888181,0.002,SELL,"[137737.890625, 146960.609375, 147175.78125]"
2025-05-23 09:56:47.214624+00:00,1.273,HOLD,20.65888181,0.002,SELL,"[144765.328125, 154445.28125, 154677.921875]"
2025-05-23 09:57:51.107827+00:00,1.273,HOLD,20.65888181,0.002,SELL,"[145334.71875, 155051.46875, 155285.625]"
2025-05-23 09:58:55.306092+00:00,1.276,HOLD,20.65888181,0.002,SELL,"[146421.921875, 156210.734375, 156446.9375]"
2025-05-23 09:59:59.406431+00:00,1.278,HOLD,20.65888181,0.002,SELL,"[146957.328125, 156781.890625, 157018.984375]"
2025-05-23 10:01:02.206709+00:00,1.276,BUY,20.65888181,0.002,BUY,"[2558.977294921875, 3013.438232421875, 2880.0126953125]"
2025-05-23 10:06:06.210306+00:00,1.262,HOLD,0.97768181,15.3866,BUY,"[18127.99609375, 19612.607421875, 19508.68359375]"
2025-05-23 10:07:10.383986+00:00,1.267,HOLD,0.97768181,15.3866,BUY,"[19705.83203125, 21297.107421875, 21195.1328125]"
2025-05-23 10:08:14.679254+00:00,1.263,HOLD,0.97768181,15.3866,BUY,"[20944.15625, 22611.708984375, 22514.9296875]"
2025-05-23 10:09:18.803818+00:00,1.259,HOLD,0.97768181,15.3866,BUY,"[21349.544921875, 23039.619140625, 22945.74609375]"
2025-05-23 10:10:21.522921+00:00,1.257,HOLD,0.97768181,15.3866,BUY,"[24948.02734375, 26868.865234375, 26785.6015625]"
2025-05-23 10:11:25.841698+00:00,1.256,HOLD,0.97768181,15.3866,BUY,"[26556.88671875, 28580.814453125, 28502.33203125]"
2025-05-23 10:12:29.850675+00:00,1.26,HOLD,0.97768181,15.3866,BUY,"[27494.291015625, 29582.427734375, 29504.6875]"
2025-05-23 10:13:33.656684+00:00,1.255,HOLD,0.97768181,15.3866,BUY,"[28218.486328125, 30348.908203125, 30275.353515625]"
2025-05-23 10:14:37.442744+00:00,1.256,HOLD,0.97768181,15.3866,BUY,"[31884.591796875, 34252.859375, 34188.7578125]"
2025-05-23 10:15:41.427041+00:00,1.251,HOLD,0.97768181,15.3866,BUY,"[33882.171875, 36375.11328125, 36318.58984375]"
2025-05-23 10:16:45.926538+00:00,1.245,HOLD,0.97768181,15.3866,BUY,"[37809.2890625, 40550.8828125, 40507.50390625]"
2025-05-23 10:17:49.422424+00:00,1.245,HOLD,0.97768181,15.3866,BUY,"[42062.99609375, 45079.515625, 45047.6171875]"
2025-05-23 10:18:53.120869+00:00,1.248,HOLD,0.97768181,15.3866,BUY,"[44770.8515625, 47964.953125, 47939.09375]"
2025-05-23 10:19:56.730976+00:00,1.25,HOLD,0.97768181,15.3866,BUY,"[45871.1484375, 49138.09375, 49114.3515625]"
2025-05-23 10:21:01.021252+00:00,1.251,HOLD,0.97768181,15.3866,BUY,"[47720.66796875, 51108.03125, 51088.84375]"
2025-05-23 10:22:04.289810+00:00,1.254,HOLD,0.97768181,15.3866,BUY,"[49879.3046875, 53408.828125, 53394.1640625]"
2025-05-23 10:23:06.651242+00:00,1.252,HOLD,0.97768181,15.3866,BUY,"[50739.515625, 54322.875, 54311.3984375]"
2025-05-23 10:24:10.476251+00:00,1.249,HOLD,0.97768181,15.3866,BUY,"[52148.5625, 55820.3671875, 55813.984375]"
2025-05-23 10:25:15.634238+00:00,1.245,SELL,0.97768181,15.3866,SELL,"[54095.578125, 57889.79296875, 57890.359375]"
2025-05-23 10:30:18.908850+00:00,1.252,HOLD,20.10663371,0.0066,SELL,"[57590.57421875, 61616.5625, 61623.671875]"
2025-05-23 10:31:22.003236+00:00,1.251,HOLD,20.10663371,0.0066,SELL,"[58835.77734375, 62941.4453125, 62952.3125]"
2025-05-23 10:32:25.560105+00:00,1.251,HOLD,20.10663371,0.0066,SELL,"[61047.92578125, 65296.57421875, 65313.4140625]"
2025-05-23 10:33:29.391510+00:00,1.253,HOLD,20.10663371,0.0066,SELL,"[61538.2421875, 65820.171875, 65837.546875]"
2025-05-23 10:34:33.385213+00:00,1.256,HOLD,20.10663371,0.0066,SELL,"[63594.90625, 68012.1953125, 68033.9140625]"
2025-05-23 10:35:37.614897+00:00,1.256,HOLD,20.10663371,0.0066,SELL,"[64491.2265625, 68966.4609375, 68990.59375]"
2025-05-23 10:36:41.702674+00:00,1.25,HOLD,20.10663371,0.0066,SELL,"[65292.50390625, 69814.703125, 69843.3828125]"
2025-05-23 10:37:44.841882+00:00,1.246,HOLD,20.10663371,0.0066,SELL,"[65990.3828125, 70554.546875, 70586.65625]"
2025-05-23 10:38:48.926343+00:00,1.247,HOLD,20.10663371,0.0066,SELL,"[66754.875, 71369.234375, 71403.0234375]"
2025-05-23 10:39:52.294225+00:00,1.248,HOLD,20.10663371,0.0066,SELL,"[67628.7578125, 72300.375, 72336.1328125]"
2025-05-23 10:40:56.475062+00:00,1.252,HOLD,20.10663371,0.0066,SELL,"[71469.2109375, 76392.2109375, 76436.7734375]"
2025-05-23 10:42:00.272770+00:00,1.249,HOLD,20.10663371,0.0066,SELL,"[71984.03125, 76937.921875, 76985.046875]"
2025-05-23 10:43:03.897265+00:00,1.25,HOLD,20.10663371,0.0066,SELL,"[72595.5234375, 77589.734375, 77638.1171875]"
2025-05-23 10:44:08.166664+00:00,1.252,HOLD,20.10663371,0.0066,SELL,"[73063.4609375, 78089.4921875, 78138.359375]"
2025-05-23 10:45:11.909187+00:00,1.252,HOLD,20.10663371,0.0066,SELL,"[73238.96875, 78276.34375, 78325.6875]"
2025-05-23 10:46:16.006054+00:00,1.247,HOLD,20.10663371,0.0066,SELL,"[73684.515625, 78746.7578125, 78799.2421875]"
2025-05-23 10:47:19.555612+00:00,1.248,HOLD,20.10663371,0.0066,SELL,"[74127.2578125, 79218.890625, 79272.1875]"
2025-05-23 10:48:23.492089+00:00,1.251,HOLD,20.10663371,0.0066,SELL,"[74880.359375, 80023.03125, 80077.1875]"
2025-05-23 10:49:27.414759+00:00,1.252,HOLD,20.10663371,0.0066,SELL,"[75279.515625, 80448.78125, 80503.625]"
2025-05-23 10:50:31.472063+00:00,1.251,HOLD,20.10663371,0.0066,SELL,"[76218.9140625, 81448.1015625, 81505.875]"
2025-05-23 10:51:35.309286+00:00,1.256,HOLD,20.10663371,0.0066,SELL,"[80915.0234375, 86451.765625, 86520.2109375]"
2025-05-23 10:52:39.411087+00:00,1.253,HOLD,20.10663371,0.0066,SELL,"[83564.921875, 89270.5, 89347.296875]"
2025-05-23 10:53:43.248722+00:00,1.253,HOLD,20.10663371,0.0066,SELL,"[84123.8046875, 89865.5, 89943.8125]"
2025-05-23 10:54:47.278380+00:00,1.254,HOLD,20.10663371,0.0066,SELL,"[84977.8203125, 90775.5234375, 90855.734375]"
2025-05-23 10:55:50.938923+00:00,1.254,HOLD,20.10663371,0.0066,SELL,"[85567.171875, 91402.9609375, 91484.765625]"
